Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8
0,0,1,0,,,,
1,0,0,0,1,0,0,0
,,,,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,,,,
,,,,0,0,0,0
,,,,0,0,0,1
,,,,0,0,0,0
,,,,0,0,0,0
,,,0,0,0,0,0
,,,1,,,,
,,,0,1,1,0,1
,,,,1,1,0,0
,,,,0,0,0,0
,,,1,,,,
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
0,0,0,0,,,,
1,1,1,1,0,0,0,0
,0,0,0,0,0,0,1
,,,,0,0,1,0
1,0,1,0,1,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
0,0,0,0,,,,
0,0,0,0,,,,
,,,,0,0,0,0
0,0,0,0,,,,
0,0,0,0,,,,
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
1,0,1,0,,,,
,,,,1,0,0,1
1,0,1,1,,,,1
1,1,0,1,,,,
1,1,1,1,,,,
1,1,1,0,0,0,0,1
1,0,1,0,,,,
0,0,0,1,0,0,0,1
,,,,0,0,0,0
,,,,1,1,0,0
,,,,0,1,1,1
0,0,0,0,1,1,0,0
1,1,1,1,,,,
0,1,1,1,,,,
0,0,0,0,,,,
,,,,0,0,0,0
0,1,0,0,,,,
0,0,0,0,0,0,0,0
1,0,0,1,,,,
0,0,0,0,,,,
,,,,1,1,1,
,,,,0,0,0,0
,,,,0,0,0,0
1,0,0,1,1,1,0,0
0,0,0,0,0,0,0,1
0,0,0,0,,,,
0,0,0,0,0,1,1,0
0,0,0,0,,,,
,,,,1,0,0,0
1,1,1,1,,,,
0,0,0,0,0,0,0,
0,0,0,0,1,1,1,1
0,0,0,0,0,1,0,0
0,0,0,1,,,,
,1,1,1,,,,
,,,,1,0,0,1
,,,,0,0,0,0
1,0,1,0,1,1,0,0
,,,,1,1,1,1
0,1,1,1,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,,,,
1,0,0,0,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0,0,0,1,,,,
0,0,0,0,,,,
1,1,0,1,,,,
1,1,0,1,,,,
1,1,0,1,,,,
0,0,0,0,,,,
,0,0,0,,,,
,0,0,0,,,,
,0,0,0,,,,
,0,0,0,,,,
,0,0,0,,,,
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,1,0,1,1
,,,,0,0,0,0
0,0,0,1,1,0,0,0
,,,,0,0,0,0
,,,1,0,1,1,1
,,,,0,0,0,0
0,0,0,1,,,,
0,0,0,0,,,,
,,,,0,0,0,0
,,,,1,0,0,
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,1,1,1
,,,,1,1,0,1
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,1,1,1,
,,,,0,0,0,0
,,,,0,0,0,0
